linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.822376934093,16.159918050741,Grad Zagreb,Sesvete,VW,Golf 7 Variant,18.490 €,2018. godište,Diesel,110 kW,karavan,5,111093 km,https://www.njuskalo.hr/auti/vw-golf-vii-variant-2.0-tdi-r-line-led-2018-god-oglas-41749543
2,45.820610359891,16.164199724162,Grad Zagreb,Sesvete,VW,Polo,19.290 €,2023. godište,Benzin,70 kW,limuzina,5,5690 km,https://www.njuskalo.hr/auti/vw-polo-1.0-tsi-life-oglas-41391723
3,45.819553883075,16.158669059446,Grad Zagreb,Sesvete,VW,Golf 7,18.990 €,2019. godište,Diesel,85 kW,limuzina,5,73836 km,https://www.njuskalo.hr/auti/golf-vii-1.6-tdi-park-senzori-tempomat-radar-oglas-40749011
4,45.819566775701,16.162447108471,Grad Zagreb,Sesvete,VW,Caddy,14.490 €,2017. godište,Diesel,75 kW,limuzina,5,344790 km,https://www.njuskalo.hr/auti/volkswagen-caddy-2.0-tdi-maxi-7-sjedala-oglas-40521293
5,45.823438892822,16.164574409113,Grad Zagreb,Sesvete,VW,Golf 7,18.990 €,2020. godište,Diesel,85 kW,limuzina,5,32700 km,https://www.njuskalo.hr/auti/golf-vii-1.6-tdi-park-senzori-tempomat-radar-oglas-38800872
6,45.822043467157,16.159688381036,Grad Zagreb,Sesvete,VW,Golf 7,13.990 €,2017. godište,Benzin,63 kW,limuzina,5,54290 km,https://www.njuskalo.hr/auti/vw-golf-vii-1.0-tsi-trendline-oglas-38177733
7,45.821629286398,16.163816304891,Grad Zagreb,Sesvete,VW,Golf 7,15.990 €,2017. godište,Diesel,85 kW,limuzina,5,49286 km,https://www.njuskalo.hr/auti/vw-golf-vii-1.6-tdi-park-senzori-oglas-41733889
8,45.818469106538,16.172074881768,Grad Zagreb,Sesvete,VW,Touran,18.490 €,2018. godište,Diesel,85 kW,monovolumen,5,137900 km,https://www.njuskalo.hr/auti/vw-touran-1.6-tdi-navi-park-senzori-7-sjedala-oglas-41488409
9,42.583027,18.227688,Dubrovačko-neretvanska,Konavle,VW,Sharan,21.900 €,2016. godište,Diesel,110 kW,monovolumen,5,166000 km,https://www.njuskalo.hr/auti/vw-sharan-2.0-tdi-bmt-dsg-oglas-41482913
10,45.802456,15.958296,Grad Zagreb,Trešnjevka - Sjever,VW,Up!,16.500 €,2020. godište,Električni,61 kW,limuzina,5,51100 km,https://www.njuskalo.hr/auti/vw-up-elektricni-automatik-oglas-42152405
11,45.813864359661316,16.005330495754727,Grad Zagreb,Donji Grad,VW,Golf 7,24.499 €,2017. godište,Benzin,195 kW,hatchback,5,170000 km,https://www.njuskalo.hr/auti/vw-golf-7-2.0-gti-automatik-oglas-41736962
12,45.705782563954,16.042317559623,Zagrebačka,Velika Gorica - Okolica,VW,Golf 7,23.700 €,2017. godište,Benzin,170 kW,hatchback,5,112000 km,https://www.njuskalo.hr/auti/vw-golf-7-2.0-gti-dsg-autobahn-spec-registriran-07-2024-oglas-41042643
